City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Dvinskoy,RU,62.1535,45.1175,14.36,98,100,2.19,overcast clouds
219,Labuhan,ID,-6.8844,112.2051,79.3,83,96,6.69,moderate rain
220,Medford,US,42.3265,-122.8756,32.65,82,0,0.0,clear sky
221,Los Algarrobos,PA,8.5,-82.4333,85.46,73,0,0.0,clear sky
222,Praia Da Vitoria,PT,38.7333,-27.0667,58.78,73,59,10.67,broken clouds
223,Cooma,AU,-36.2333,149.1333,45.27,81,12,10.38,few clouds
224,Saint-Joseph,RE,-21.3667,55.6167,78.1,87,100,36.8,heavy intensity rain
225,Xining,CN,36.6167,101.7667,19.24,52,0,4.74,clear sky
226,Cochrane,CA,51.1834,-114.4687,9.23,84,0,13.8,clear sky
227,Mezhdurechensk,RU,53.6942,88.0603,3.27,100,70,2.39,broken clouds
228,Moron,AR,-34.6534,-58.6198,73.09,91,100,3.67,moderate rain
229,Zheleznodorozhnyy,RU,55.7503,38.0042,25.32,97,99,3.11,overcast clouds
230,Port Augusta,AU,-32.5,137.7667,68.13,53,0,13.85,clear sky
231,Rio Grande,BR,-32.035,-52.0986,87.91,67,23,10.0,few clouds
232,Saint George,US,37.1041,-113.5841,27.36,41,0,4.61,clear sky
233,Bengkulu,ID,-3.8004,102.2655,78.39,86,100,5.44,moderate rain
234,Gazanjyk,TM,39.2446,55.5154,54.68,32,39,12.15,scattered clouds
235,Chimbote,PE,-9.0853,-78.5783,71.91,77,94,5.44,overcast clouds
236,Schladming,AT,47.3929,13.687,45.82,92,93,3.91,overcast clouds
237,Laguna,US,38.421,-121.4238,46.96,80,0,0.0,clear sky
238,Monrovia,LR,6.3005,-10.7969,91.17,60,10,10.69,clear sky
239,Malanje,AO,-9.5402,16.341,76.91,52,97,6.85,overcast clouds
240,Sorland,NO,67.667,12.6934,28.26,64,40,17.27,scattered clouds
241,Lucerna,CH,47.0505,8.3064,52.27,82,20,1.14,few clouds
242,Campoverde,PE,-8.4753,-74.8058,78.49,62,28,1.3,scattered clouds
243,Norwich,GB,52.6278,1.2983,51.26,78,40,1.01,scattered clouds
244,Portland,US,45.5234,-122.6762,44.26,94,75,3.0,broken clouds
245,Little Current,CA,45.9793,-81.9248,8.42,74,100,9.26,overcast clouds
246,Geraldton,AU,-28.7667,114.6,80.13,47,0,6.91,clear sky
247,Groningen,NL,53.25,6.75,46.47,90,100,13.8,overcast clouds
248,Stonewall,CA,50.1344,-97.3268,-26.21,97,6,6.82,clear sky
249,Khanu Woralaksaburi,TH,16.0617,99.8606,83.55,52,85,7.27,light rain
250,Kirakira,SB,-10.4544,161.9205,78.67,88,100,5.19,light rain
251,Camacupa,AO,-12.0167,17.4833,67.48,88,100,6.91,light rain
252,Xuchang,CN,34.0167,113.8167,35.74,56,56,6.4,broken clouds
253,Borovoy,RU,55.4333,86.0833,13.28,92,75,4.47,mist
254,Tuktoyaktuk,CA,69.4541,-133.0374,-15.41,98,99,9.28,overcast clouds
255,Lasem,ID,-6.6922,111.4527,78.82,86,100,4.0,light rain
256,Yulara,AU,-25.2406,130.9889,70.93,40,100,15.84,overcast clouds
257,Green River,US,41.5286,-109.4662,14.14,65,54,1.01,broken clouds
258,Kirovskiy,RU,45.0917,133.5136,-5.01,100,98,3.27,overcast clouds
259,Fairbanks,US,64.8378,-147.7164,-25.98,66,0,3.44,clear sky
260,Abu Kamal,SY,34.4506,40.9171,61.16,28,82,16.64,broken clouds
261,Omsukchan,RU,62.5333,155.8,-6.59,76,79,10.2,broken clouds
262,Paragominas,BR,-2.9667,-47.4833,83.95,67,99,4.12,overcast clouds
263,Margate,GB,51.3813,1.3862,51.96,73,81,3.0,broken clouds
264,Loutros,GR,40.5883,22.3994,51.98,45,5,13.18,clear sky
265,Thinadhoo,MV,0.5333,72.9333,82.62,69,100,3.31,overcast clouds
266,Pangai,TO,-19.8,-174.35,81.0,76,56,17.05,light rain
267,Pasighat,IN,28.0667,95.3333,57.04,71,27,4.32,scattered clouds
268,Mount Gambier,AU,-37.8333,140.7667,55.89,68,28,9.06,scattered clouds
269,Lamar,US,33.6668,-95.5836,29.25,93,100,13.8,snow
270,Glendive,US,47.1053,-104.7125,1.02,78,0,11.5,clear sky
271,Mata Grande,BR,-9.1175,-37.7322,88.38,34,89,6.06,overcast clouds
272,Kyshtovka,RU,56.555,76.6271,12.27,95,100,7.2,overcast clouds
273,Devarkonda,IN,16.7,78.9333,79.32,45,23,9.06,few clouds
274,Chlorakas,CY,34.8042,32.4083,61.83,74,40,11.5,light rain
275,Saldanha,ZA,-33.0117,17.9442,66.42,68,54,11.97,broken clouds
276,Pueblo Nuevo,MX,23.3833,-105.3833,42.48,40,94,3.11,overcast clouds
277,Araua,BR,-11.2622,-37.6197,84.85,40,61,6.78,broken clouds
278,Saint-Augustin,CA,51.226,-58.6502,32.67,98,100,21.72,snow
279,Berlevag,NO,70.8578,29.0864,22.95,93,75,6.91,light shower snow
280,North Port,US,27.0442,-82.2359,71.98,74,3,13.96,clear sky
281,Bukachacha,RU,52.9833,116.9167,-15.61,96,15,4.09,few clouds
282,Daru,PG,-9.0763,143.2092,78.76,86,100,9.95,light rain
283,Sulangan,PH,11.1373,123.7228,80.49,80,99,15.99,overcast clouds
284,Kalmunai,LK,7.4167,81.8167,77.31,74,1,7.81,clear sky
285,Khandbari,NP,27.3747,87.2039,51.1,82,73,1.3,light rain
286,Miri,MY,4.4148,114.0089,78.1,87,95,7.25,light rain
287,Pevek,RU,69.7008,170.3133,-8.28,75,23,1.68,few clouds
288,Rio Branco,BR,-9.9747,-67.81,81.21,83,75,3.44,broken clouds
289,Hirado,JP,33.3597,129.5531,41.36,52,99,11.07,overcast clouds
290,Inuvik,CA,68.3499,-133.7218,-23.21,100,100,4.7,overcast clouds
291,Garden City,US,42.3256,-83.331,21.88,81,100,3.0,light snow
292,Tautira,PF,-17.7333,-149.15,78.82,69,22,16.04,few clouds
293,Portadown,GB,54.4241,-6.4412,52.39,76,100,19.04,overcast clouds
294,Kroonstad,ZA,-27.6504,27.2349,79.45,48,71,11.88,broken clouds
295,Mattru,SL,7.6244,-11.8332,99.57,22,2,1.63,clear sky
296,Mahebourg,MU,-20.4081,57.7,80.26,91,100,26.04,moderate rain
297,Quatre Cocos,MU,-20.2078,57.7625,80.1,90,100,23.35,moderate rain
298,Yola,NG,9.2,12.4833,93.2,11,4,5.55,clear sky
299,Northport,US,33.229,-87.5772,60.67,98,100,5.01,overcast clouds
300,Beloha,MG,-25.1667,45.05,84.79,49,0,20.69,clear sky
301,Maceio,BR,-9.6658,-35.7353,87.24,62,75,13.8,broken clouds
302,Ahipara,NZ,-35.1667,173.1667,68.97,92,66,11.81,broken clouds
303,Savannah Bight,HN,16.45,-85.85,80.01,76,5,24.38,clear sky
304,Rong Kwang,TH,18.339,100.3174,74.86,50,3,2.3,clear sky
305,Dhidhdhoo,MV,6.8833,73.1,81.34,71,7,7.74,clear sky
306,Buala,SB,-8.145,159.5921,79.52,85,100,8.66,light rain
307,Chara,RU,56.9064,118.2631,-22.52,83,61,1.61,broken clouds
308,Taoudenni,ML,22.6783,-3.9836,76.91,13,0,11.05,clear sky
309,Orocue,CO,4.7912,-71.3354,85.03,45,98,10.16,overcast clouds
310,Borogontsy,RU,62.6683,131.1683,-21.46,99,100,2.1,overcast clouds
311,Biritiba-Mirim,BR,-23.5698,-46.0407,76.33,78,97,0.54,light rain
312,Kamenka,RU,51.3223,42.7678,32.76,100,100,2.06,light snow
313,Tomatlan,MX,19.9333,-105.25,59.02,60,5,3.18,clear sky
314,Wukari,NG,7.85,9.7833,96.33,10,38,9.8,scattered clouds
315,Ussel,FR,45.55,2.3167,49.73,44,100,4.79,overcast clouds
316,Belaya Gora,RU,68.5333,146.4167,-31.85,100,46,1.79,scattered clouds
317,Port Lincoln,AU,-34.7333,135.8667,62.08,72,20,16.69,few clouds
318,Tasiilaq,GL,65.6145,-37.6368,4.35,59,72,6.33,broken clouds
319,Bonthe,SL,7.5264,-12.505,88.66,49,3,11.97,clear sky
320,Yabassi,CM,4.457,9.9682,97.93,29,70,4.29,broken clouds
321,Cartagena,CO,10.3997,-75.5144,82.02,74,20,3.44,few clouds
322,San Luis,AR,-33.295,-66.3356,81.0,36,6,4.56,clear sky
323,Wajir,KE,1.7471,40.0573,98.55,21,100,11.23,overcast clouds
324,Harbour Breton,CA,47.4833,-55.7983,37.0,85,100,19.42,overcast clouds
325,Goderich,CA,43.7501,-81.7165,20.91,82,100,15.88,overcast clouds
326,Ayr,GB,55.4627,-4.6339,52.11,76,75,18.41,broken clouds
327,Aguai,BR,-22.0594,-46.9786,75.87,82,100,0.81,light rain
328,Yerbogachen,RU,61.2767,108.0108,0.66,98,95,3.62,overcast clouds
329,Kismayo,SO,-0.3582,42.5454,82.22,72,64,19.19,broken clouds
330,Ulladulla,AU,-35.35,150.4667,57.87,77,66,14.88,broken clouds
331,Zdvinsk,RU,54.7021,78.661,9.05,94,100,7.02,overcast clouds
332,Nantong,CN,32.0303,120.8747,38.01,61,100,3.11,overcast clouds
333,Guerrero Negro,MX,27.9769,-114.0611,51.46,35,0,7.74,clear sky
334,Klaksvik,FO,62.2266,-6.589,38.32,90,96,31.85,light rain
335,Svetlogorsk,BY,52.6333,29.7333,25.2,85,100,12.55,overcast clouds
336,Port Hedland,AU,-20.3167,118.5667,77.05,83,100,6.91,light rain
337,Banjar,ID,-8.19,114.9675,82.26,88,85,3.53,overcast clouds
338,Nalut,LY,30.3333,10.85,61.63,31,0,10.63,clear sky
339,Mauganj,IN,24.6833,81.8833,73.65,30,65,7.43,broken clouds
340,Srandakan,ID,-7.9386,110.2506,63.73,83,100,1.23,light rain
341,Pangody,RU,65.85,74.4859,7.29,98,99,5.23,overcast clouds
