City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Zhigansk,RU,2022-01-29 22:15:02,66.7697,123.3711,-30.8,100,100,2.1
115,Lebu,CL,2022-01-29 22:15:02,-37.6167,-73.65,63.54,77,1,11.18
116,Olafsvik,IS,2022-01-29 22:15:03,64.8945,-23.7142,38.26,67,100,29.66
117,Kavieng,PG,2022-01-29 22:15:02,-2.5744,150.7967,83.1,73,100,6.6
118,Saint-Augustin,CA,2022-01-29 22:15:03,51.226,-58.6502,7.75,88,100,16.89
119,Oum Hadjer,TD,2022-01-29 22:15:04,13.2954,19.6966,67.91,12,22,13.33
120,Calvia,ES,2022-01-29 22:15:04,39.5657,2.5062,48.07,70,0,1.92
121,Cairns,AU,2022-01-29 22:15:04,-16.9167,145.7667,80.55,78,97,9.22
122,Barrow,US,2022-01-29 22:10:59,71.2906,-156.7887,-7.58,77,100,12.66
123,Santa Maria,BR,2022-01-29 22:13:59,-29.6842,-53.8069,78.67,40,0,9.44
124,Ostrovnoy,RU,2022-01-29 22:15:05,68.0531,39.5131,14.22,88,83,13.04
125,Ribeira Grande,PT,2022-01-29 22:15:05,38.5167,-28.7,59.47,71,28,7.76
126,Pangnirtung,CA,2022-01-29 22:12:56,66.1451,-65.7125,-19.08,99,100,3.67
127,Hithadhoo,MV,2022-01-29 22:15:05,-0.6,73.0833,80.71,69,92,3.53
128,Mulege,MX,2022-01-29 22:15:06,26.8833,-111.9833,70.12,33,13,10.16
129,Kaitangata,NZ,2022-01-29 22:15:06,-46.2817,169.8464,56.79,93,100,3.85
130,Ekpoma,NG,2022-01-29 22:15:06,6.7421,6.139,75.2,18,100,3.06
131,Hamilton,US,2022-01-29 22:15:07,39.1834,-84.5333,25.74,59,100,1.99
132,Vardo,NO,2022-01-29 22:12:09,70.3705,31.1107,21.65,80,92,2.24
133,Mar Del Plata,AR,2022-01-29 22:12:24,-38.0023,-57.5575,75.47,65,1,9.64
134,Mahebourg,MU,2022-01-29 22:16:07,-20.4081,57.7,79.09,83,40,6.91
135,Kangaatsiaq,GL,2022-01-29 22:16:08,68.3065,-53.4641,7.65,93,100,15.86
136,Hermanus,ZA,2022-01-29 22:11:10,-34.4187,19.2345,66.79,77,2,13.8
137,Port Elizabeth,ZA,2022-01-29 22:12:47,-33.918,25.5701,65.1,85,0,7.43
138,Dunedin,NZ,2022-01-29 22:16:08,-45.8742,170.5036,59.31,81,100,3.42
139,Moree,AU,2022-01-29 22:16:09,-29.4667,149.85,77.02,65,52,10.36
140,Denpasar,ID,2022-01-29 22:12:55,-8.65,115.2167,78.46,94,75,2.3
141,Uthal,PK,2022-01-29 22:16:09,25.8072,66.6219,64.72,72,0,2.46
142,Ikorodu,NG,2022-01-29 22:16:09,6.6191,3.5041,78.76,50,84,0.76
143,Tuatapere,NZ,2022-01-29 22:16:10,-46.1333,167.6833,57.45,95,100,4.74
144,Berezovyy,RU,2022-01-29 22:12:17,51.6667,135.7,-12.55,90,99,3.56
145,Dombarovskiy,RU,2022-01-29 22:16:10,50.7587,59.5386,-4.95,100,96,4.9
146,Cranbrook,CA,2022-01-29 22:16:11,49.4999,-115.7688,32.86,73,75,2.3
147,Tafo,GH,2022-01-29 22:16:11,6.7345,-1.6127,76.19,30,70,1.05
148,Terme,TR,2022-01-29 22:16:12,41.2092,36.9739,39.13,70,88,5.64
149,Pecos,US,2022-01-29 22:13:03,31.4229,-103.4932,61.3,18,0,4.61
150,Coracao De Jesus,BR,2022-01-29 22:16:12,-16.6853,-44.365,75.92,87,76,5.75
151,Paamiut,GL,2022-01-29 22:16:12,61.994,-49.6678,15.28,68,100,22.64
152,Butajira,ET,2022-01-29 22:16:13,8.1167,38.3667,57.27,54,4,6.73
153,Tias,ES,2022-01-29 22:12:50,28.9611,-13.645,62.28,68,0,9.22
154,Teguise,ES,2022-01-29 22:16:13,29.0605,-13.564,59.22,72,0,9.22
155,Tura,IN,2022-01-29 22:16:13,25.5198,90.2201,50.23,62,0,2.53
156,Neryungri,RU,2022-01-29 22:16:13,56.6709,124.6491,-9.04,94,100,9.28
157,Iraray,PH,2022-01-29 22:16:14,8.9936,118.0511,76.14,86,29,2.15
158,Lima,PE,2022-01-29 22:13:24,-12.0432,-77.0282,76.89,65,40,5.99
159,Kalinagar,IN,2022-01-29 22:16:14,28.6167,80.1,47.3,80,0,7.11
160,Mahon,ES,2022-01-29 22:16:15,39.8885,4.2658,43.36,100,0,3.44
161,Kingman,US,2022-01-29 22:14:08,35.1894,-114.053,57.45,13,0,12.66
162,Phan Thiet,VN,2022-01-29 22:16:15,10.9333,108.1,71.67,89,82,2.59
163,Solwezi,ZM,2022-01-29 22:16:15,-12.1688,26.3894,62.13,98,100,4.41
164,Qaanaaq,GL,2022-01-29 22:16:16,77.484,-69.3632,2.46,62,100,10.49
165,Korla,CN,2022-01-29 22:16:16,41.7597,86.1469,24.03,51,100,7.43
166,Sinnamary,GF,2022-01-29 22:16:16,5.3833,-52.95,77.0,83,86,8.05
167,Chokurdakh,RU,2022-01-29 22:16:17,70.6333,147.9167,-11.78,85,100,1.74
168,Guiuan,PH,2022-01-29 22:16:17,11.0333,125.7247,80.87,80,27,5.53
169,Port-Gentil,GA,2022-01-29 22:14:15,-0.7193,8.7815,81.27,82,92,10.31
170,Mao,ES,2022-01-29 22:16:15,39.8885,4.2658,43.36,100,0,3.44
171,Kahului,US,2022-01-29 22:16:18,20.8947,-156.47,82.42,53,40,8.05
172,Geraldton,AU,2022-01-29 22:16:03,-28.7667,114.6,68.41,88,0,3.44
173,Naze,JP,2022-01-29 22:16:18,28.3667,129.4833,56.32,77,100,13.76
174,Kushima,JP,2022-01-29 22:16:18,31.4583,131.2333,46.44,80,100,4.74
175,Te Anau,NZ,2022-01-29 22:16:19,-45.4167,167.7167,57.49,90,100,1.12
176,Bandarbeyla,SO,2022-01-29 22:16:20,9.4942,50.8122,75.76,64,95,20.96
177,Pemba,MZ,2022-01-29 22:13:39,-12.974,40.5178,75.2,88,100,4.36
178,Salalah,OM,2022-01-29 22:16:20,17.0151,54.0924,69.89,73,0,2.3
179,Chichimila,MX,2022-01-29 22:16:20,20.6167,-88.2167,72.73,49,87,6.49
180,Ponta Do Sol,PT,2022-01-29 22:12:58,32.6667,-17.1,64.0,66,22,5.57
181,Semnan,IR,2022-01-29 22:16:21,35.5729,53.3971,31.84,55,0,2.3
182,Sanandaj,IR,2022-01-29 22:16:21,35.3144,46.9923,19.42,86,40,0.0
183,Wajima,JP,2022-01-29 22:15:46,37.4,136.9,35.13,63,100,15.3
184,Ca Mau,VN,2022-01-29 22:17:22,9.1769,105.15,73.24,86,56,2.8
185,Maniitsoq,GL,2022-01-29 22:17:22,65.4167,-52.9,8.44,72,100,26.66
186,Praia,CV,2022-01-29 22:17:22,14.9215,-23.5087,70.34,64,75,17.27
187,Mata,PT,2022-01-29 22:17:23,40.683,-7.4592,45.93,59,0,4.05
188,Guanica,PR,2022-01-29 22:17:23,17.9716,-66.908,81.14,71,32,4.0
189,Saint Anthony,US,2022-01-29 22:16:02,45.0205,-93.218,28.26,63,0,3.0
190,Constitucion,CL,2022-01-29 22:14:02,-35.3333,-72.4167,63.97,77,40,9.71
191,Siderno,IT,2022-01-29 22:17:24,38.2779,16.302,50.4,57,1,8.21
192,Bambous Virieux,MU,2022-01-29 22:13:41,-20.3428,57.7575,78.22,72,99,12.44
193,Mogadishu,SO,2022-01-29 22:16:19,2.0371,45.3438,77.07,80,24,21.25
194,Griffith,US,2022-01-29 22:16:08,41.5284,-87.4237,23.16,58,0,3.0
195,Aitape,PG,2022-01-29 22:17:25,-3.1374,142.3475,77.76,86,97,8.43
196,Ingham,US,2022-01-29 22:17:25,42.6,-84.3833,20.97,61,100,5.75
197,Fatehpur,IN,2022-01-29 22:17:25,25.9333,80.8,50.04,63,0,7.52
198,Xai-Xai,MZ,2022-01-29 22:17:26,-25.0519,33.6442,75.27,83,100,6.24
199,Hobyo,SO,2022-01-29 22:14:47,5.3505,48.5268,76.57,77,30,23.11
200,Lazaro Cardenas,MX,2022-01-29 22:17:26,17.9583,-102.2,82.81,59,0,8.97
